process,step,Hongming,Haoyu,Yuqian,ground_true_relabel,id
Clean Behind Your Ears - Cleaning With a Cotton Swab,Prepare the cotton swab with your cleanser,1,1,1,1,1254
Grow Birch Trees - Planting the Birch Tree," Dig a shallow, wide hole in the ground",1,1,1,1,1255
Make Caramel Frosting - Making Classic Caramel Frosting,first decide how to make,1,1,1,1,1257
Gently Curl Your Hair - Using a Headband,Start with slightly damp hair,0,1,1,1,1258
Clear Your Browser's Cache - Firefox on Desktop," Check the ""Cache"" box",0,1,1,1,1259
Clean Under Laptop Keyboard Keys - Putty,Place putty on the keyboard,1,1,1,1,1260
Support the ACLU - Taking Action Online,before that choose relevant action,0,1,0,0,1261
Password Protect a PDF - Using PDF2Go,Disable PDF permissions,1,-1,0,0,1262
Make an Outdoor Canopy - Making a Canopy with 4 Poles and a Tarp,"Buy a high-quality tarp with grommets, big enough to cover the desired area",1,1,1,1,1264
Make Non Alcoholic Blue Curacao - Making the Orange Base,Steep the orange peels,0,1,0,0,1265
Know when to Use Oil Based Paint Instead of Latex,Know the trait of the paint,1,1,1,1,1266
Play With Your Hermit Crab - Handling Your Hermit Crab,Supervise your hermit crab while it roams and explores,1,0,0,0,1267
Make Chocolate Babka - Making the Filling,"You will need a pan, oven, and heatproof bowl in order to make the filling.",1,1,1,1,1269
Wind a Grandfather Clock - Winding a Chain-Wound Clock,Look for chains hanging next to the weights,1,1,1,1,1271
Make a Candy Wrapper Collage - Fabric collage,Cut and arrange the fabric materials following your design,0,1,0,0,1272
"Make a Plaster Cast of a Footwear Mark, Tyre Impression or Animal Footprint",Store and transport the cast,0,1,1,1,1273
Use Microsoft Paint in Windows - Adding Text,Change the font's size,0,0,0,0,1274
Repair a Book's Binding - Reattaching Loose Pages,Set the pages back on the spine,1,1,1,1,1277
Use Microsoft Paint in Windows - Adding Text,Add formatting to the text,0,1,1,1,1278
Make a Pumpkin Cake - Vegan Pumpkin Cake,Bake the cake,1,1,1,1,1279
Dry Sage - Drying Sage in a Food Dehydrator,Pre-heat dehydrator with the thermostat set to 95°F to 115°F,1,1,1,1,1280
Kill English Ivy - Killing Ivy on Trees,Monitor the area for new ivy growth,0,1,1,1,1281
Cook Freekeh - Freekeh Pilaf,Simmer for 15 minutes,1,1,1,1,1282
Make Crunchy Cajun Potato Snacks,Add more Cajun,1,1,1,1,1285
Write a Hypothesis for an Essay - Composing the Hypothesis,Be as specific as possible,1,1,1,1,1286
Cook Green Beans - Cooking Green Beans in Other Ways,Sauté green beans for 1 to 2 minutes after steaming them,1,1,0,1,1287
Get an Article Approved in wikiHow's Quality Review,"Make sure clear, relevant images accompany your article.",1,1,1,1,1288
Find Surface Area of a Triangular Prism - Finding the Lateral Area,Multiply the perimeter of one base with the height of the prism,0,0,0,0,1289
Train Puggles - House-Training Your Puggle,Put your puggle on a training schedule,1,1,1,1,1290
Kill English Ivy - Killing Ivy on Trees,Get your equipment ready,1,1,1,1,1291
Open XML - Using a Text Editor,""" Select ""Notepad"" (Windows) or ""TextEdit"" (Mac)",1,1,1,1,1292
Diagnose a Fistula - Getting a Medical Diagnosis,Let your doctor perform a physical,1,1,1,1,1293
Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,Calculate the current market interest rate for each payment period,1,1,1,1,1294
Change the Root Password in Linux - With the Current Root Password,Retype the new password and press ↵ Enter,0,1,1,1,1295
Cite a Syllabus in APA - Integrating an In-Text Citation,End the citation with the page number or numbers,1,1,1,1,1296
Clean Behind Your Ears - Cleaning With a Cotton Swab,Wipe dirt away gently,1,1,1,1,1297
Grow Taro - Growing Shoots on Tubers," Choose healthy-looking, large tubers for planting",1,1,1,1,1298
Make Pickles - Simple Pickles,Refrigerate overnight,1,1,1,1,1299
Make Your Mobile Phone Number Appear As a Private Number - Asking Your Carrier To Make Your Number Private,Dial 611 and press the call button,0,0,0,0,1300
Play French Darts,Pick teams,0,0,0,0,1301
Blow Dry Layered Hair - Blow Drying Short Layers,"If your hair is several inches above your shoulders (your shortest pieces less than an inch long), section off the hair right above your ears and clip it away",0,0,0,0,1303
Stretch the Calf Area of Boots - Stretching Boots with Boot Bands,Pull the zipper up to connect the boot band to your boot,1,0,0,0,1304
Cure Astigmatism - Getting Laser Eye Surgery,Recover after the surgery,1,1,1,1,1305
Make Spring Rolls - Cooking Thai Fresh Rolled,Bring it to the cutting board,1,1,1,1,1306
Make a Paper Hat - Making a Sailor or Alpine Hat,Fold the paper in half widthwise,0,0,0,0,1307
Stop Hormone Replacement Therapy (HRT) - Stopping Hormones,Continue to be monitored by your doctor,1,1,1,1,1308
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters,Salt and strain the zucchinis,0,0,0,0,1309
Alleviate Headaches During Pregnancy - Recognizing More Serious Problems,Use a blood pressure monitor to track your blood pressure throughout the day.,1,1,1,1,1310
Update Your Browser - Updating Apple Safari on Mac OS X,Click on the Apple menu and select “System Preferences,1,1,1,1,1314
Collect Rainwater for Drinking - Filtering the Rainwater,Run the water through an activated carbon filter to remove particulate,1,0,1,1,1316
Get Notified of Changes to a Dropbox on Android,Check the box next to each desired notification type,1,1,1,1,1317
Buy Postage Online - Purchasing Postage Labels Online with Stamps.com,Choose a delivery address,1,1,1,1,1319
Make a Vanilla Cake - Basic Vanilla Cake,Let the cake cool,1,1,1,1,1320
Recognize and Treat Postpartum Psychosis - Diagnosing Postpartum Psychosis,Provide as much information as possible,1,1,1,1,1321
Unhook a Bra - Unhooking Someone Else’s Bra,Push both sides in towards one another to relieve the tension on the connectors,1,1,1,1,1322
Hang Floating Shelves - Installing Cleats,Cut a 2x2 piece of wood long enough to fit inside your floating shelves,1,1,1,1,1323
Start a Yeast Free Diet - Trying a Four to Six Week Diet,Familiarize yourself with treats,1,0,1,1,1325
Diagnose a Fistula - Getting a Medical Diagnosis,Submit to any other recommended tests,0,0,0,0,1326
Become a Registered Nurse - Obtaining the Correct Education and Credentials,Undertake post-secondary education in nursing,1,1,1,1,1327
Test Liver Function - Getting the Blood Test,Put pressure on the injection site and let it heal,1,1,1,1,1328
Make Soursop Juice - Mashing the Soursop,Place the soursop into a bowl and add the milk or water,0,0,0,0,1329
Teach Yourself to Get Up As Soon As Your Alarm Clock Goes Off - Waking Up,Use your environment to help you continue to wake up,1,0,0,0,1330
Make a Tight Turn Quickly in a Car - Using Your Handbrake,Turn your wheel into the turn,1,1,1,1,1331
Hide Friends on Facebook - On Mobile,Tap Privacy,1,1,1,1,1332
Dispose of Coffee Grounds - Making a Compost Heap,Start with a layer of course branches and twigs to promote air flow,1,1,1,1,1333
Hide Friends on Facebook - On Mobile,Scroll down and tap Settings,1,1,1,1,1334
Ride the Disneyland Monorail - Preparing to Board,Watch the monorail doors as they close,0,1,0,0,1337
Remove Wrinkles from Leather Jackets - Steaming the Jacket,Hang the coat and shower,0,0,0,0,1339
Blow Dry Curly Hair - Blowing It Dry,Continue until your hair is mostly dry,1,1,1,1,1340
Cure Astigmatism - Getting Laser Eye Surgery,you can only partially focus on an object,1,1,1,1,1341
Cut Zucchini - Dicing,Cut off the stem and blossom ends,1,1,1,1,1342
Uninstall Twitch on PC or Mac - Using Mac,Click the Trash bin icon on the Dock,0,0,0,0,1343
Clear Your Browser's Cache - Firefox on Desktop,Click Clear Now,1,1,1,1,1345
Tell If Someone Is in Your Closet," Ask ""Is anyone inside of my closet?"" Slowly open the closet door, having a good grip on the handle and using your foot to prevent the door from opening far",0,0,0,0,1346
Use Google Keyword Planner - Multiplying Keyword Lists to Get New Keyword Ideas,Click on multiply keyword lists to get new keyword ideas,1,1,1,1,1347
Defrost Salmon - Thawing in Cold Water, Set the bagged salmon into a bowl,1,1,1,1,1348
Identify Songs Using Melody - Using Technology,Post up your query,1,1,1,1,1349
Use Massage for Neck Pain - Giving Yourself a Massage,Massage pressure points,1,1,1,1,1351
Download Kindle Books on an iPad - Adding Non-Kindle Content to Your Kindle App,Send compatible documents to your Kindle app,1,1,1,1,1352
Glue Fabric to a Hat Frame,Press and smooth one small area at a time,1,1,1,1,1353
Toast Sunflower Seeds - Stovetop Toasting,Turn the heat down to low once the seeds start browning,1,1,1,1,1356
Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,Look at the Big Picture.,0,0,0,0,1358
Use a Litter Box for a Rabbit - Setting up the Litterbox,Cover the litter with hay up to the top of the litterbox,0,0,0,0,1359
Reset Browser Settings - Firefox,Click on Troubleshooting Information,0,0,0,0,1360
Delete Bookmarks - Firefox," Right-click on a bookmark and select ""Delete"" to remove it",1,1,1,1,1361
Go to Sleep Fast for Kids - Starting a Bedtime Routine,Take a warm bath,1,0,0,0,1363
Clean Your Dog's Toothbrush - Disinfecting the Toothbrush,Pour  water into a glass,1,1,1,1,1364
Create a Fillable PDF - Editing Form Fields,Click the location where you'd like to add a text field,1,1,1,1,1365
Make Non Alcoholic Blue Curacao - Making the Orange Base,stir the juice,1,1,1,1,1366
Buy a Remote Starter for a Truck,Read over the brochures and decide which systems have all of the features you need and want,1,1,1,1,1367
Give Flat Hair Volume - Drying Your Hair to Add Volume,Blow dry the underside of your hair,1,1,1,1,1369
Take Care of and Prevent a Rip in Gymnastics - Healing a Minor Gymnastics Rip,Know what a rip looks like,1,1,1,1,1371
Make Crunchy Cajun Potato Snacks,Prepare the potatoes,1,1,1,1,1373
Blow Dry Curly Hair with a Diffuser - Blowing It Dry,Lift the diffuser until it touches your head to dry your roots,1,1,0,1,1376
Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS,Make a call,0,0,0,0,1377
Dry a Dog - Drying Your Dog With a Chamois,Wring out the chamois,1,1,1,1,1378
Make Paper Dolls - Completing Your Paper Doll,Draw a base for your doll,1,1,1,1,1379
Calculate the Volume of a Prism - Calculating the Volume of a Triangular Prism,State your answer in cubic units,1,1,1,1,1380
"Add Colorful Emoticons, Icons and Smiley Faces in Outlook"," After Insertion of a particular image, select it to use in further procedure",1,1,1,1,1381
Clean Behind Your Ears - Cleaning With a Cotton Swab,Only use cotton swabs on the outside of the ear,1,0,0,0,1383
Preserve Lemons - Prepping the Lemons,Scrub the lemons' skins,1,1,1,1,1386
Get Married in Oregon - Planning a Wedding Ceremony,Make final payments,1,1,1,1,1387
Bake a Cake - Making Apple Cake,Stir the dry ingredients in a bowl,1,1,1,1,1389
Use Google Keyword Planner - Multiplying Keyword Lists to Get New Keyword Ideas," Click on ""get search volume",1,1,1,1,1390
Play With Your Hermit Crab - Handling Your Hermit Crab,Take pictures of the hermit crab,0,0,0,0,1391
Build a Home Studio for Computer Based Music Recording - Building a Home Studio,Learn how to record a sound from an input line and how to arrange pre-recorded sounds,1,1,1,1,1392
Peel a Pumpkin - Peeling with a Vegetable Peeler,Set up the pumpkin and the peeler,1,1,1,1,1393
Create a Kahoot Game,Go to https://create,0,0,0,0,1394
Separate Sand and Salt - Carrying Out the Experiment,Add water to the sand and salt,1,1,1,1,1395
Peel a Kiwi - Peeling kiwifruit with a spoon," Apply a small amount of pressure against the skin and gently turn the kiwifruit with your other hand, scooping the flesh away from the skin",1,0,0,0,1396
Hide Your Profile Picture on Facebook - Using a Computer,Click the tiny globe icon below your name on the top-right,1,1,1,1,1397
Pick out Your Perfect Cell Phone,Now you should have 2-3 phones,0,0,0,0,1400
Keep Japanese Weather Loaches - Setting up Your Aquarium," Decorate the tank with plants, rocks, and shelters",0,0,0,0,1401
Hide Toolbars - Hiding Toolbars in Google Chrome,Remove the check mark next to “Enabled” for each toolbar you want hidden,1,1,1,1,1402
Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,Go to the Pediaphon website,1,1,1,1,1403
Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,Gather the information,1,1,1,1,1404
Play iPad Videos on TV - Using an Adapter,Turn on your TV,1,1,1,1,1405
Turn On Windows Defender - Turning on Windows Defender,Click Virus & threat protection settings,0,1,0,0,1407
"Add Colorful Emoticons, Icons and Smiley Faces in Outlook"," To confirm about adding of that particular image or logo, see the list given below under ""With"" option",1,1,1,1,1408
Cut Zucchini - Dicing,Carefully cut the zucchini into 3-4 vertical strips,0,0,0,0,1409
Fix a Bicep Tear - Resuming Physical Activity,Do 2 sets of 8 to 12 biceps curls,0,0,0,0,1410
File for a K1 Visa - Filing Your Petition with USCIS,Complete your petition,1,1,1,1,1412
Promote Root Growth - Encouraging Growth in Cuttings,Wrap a plastic bag around the cutting in the pot to prevent it from drying out,1,1,1,1,1413
Get a Federal Explosives License - Submitting a Complete Application,Mail the application,1,1,1,1,1415
Hang Floating Shelves - Installing Cleats,Decide where to install the cleat by locating the studs,1,1,1,1,1416
Apply for a Job in Canada - Applying and Interviewing,Write a cover letter for the specific job you’re applying for,1,1,1,1,1417
Arrange Silk Flowers - Creating Your Floral Arrangement,Fill in gaps with greenery,0,0,0,0,1418
Clean Behind Your Ears - Cleaning With a Cotton Swab,Wash ears with soap and water before using cotton swabs.,1,1,1,1,1421
Switch Medicare from One State to Another - Moving with a Medigap Plan,Check with your current insurance company,1,1,1,1,1424
Stretch the Calf Area of Boots - Stretching Boots with Boot Bands,Place the boot band zip next to the zip on your boot,1,1,1,1,1425
Use an Analog Watch as a Compass - In the Northern Hemisphere,Point the hour hand in the direction of the sun,1,1,1,1,1426
Store Avocado - Packaging a Cut Avocado,Place avocado in a dish.,1,1,1,1,1427
Get a Dog to Stop Drinking from the Toilet - Training Your Dog,Call it from the area,1,1,1,1,1429
Remove Vocals from Songs - Removing the Center Channel,Locate the vocals in the mix,1,1,1,1,1430
Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS,Remove the iPhone SIM card,0,0,0,0,1433
Prepare a Power of Attorney - Preparing a Power of Attorney Document,Check your state’s requirements,1,1,1,1,1434
Paint Bamboo Furniture - Painting the Furniture,Let the spray paint dry ,1,1,1,1,1435
Have Assault Charges Dropped - Taking Preliminary Steps,Seek legal advice,1,1,1,1,1436
Find the Flashlight on an iPhone - Using Control Center,One should swipe up from a edge of the screen to open Control Center on your iPhone.,1,1,1,1,1437
Pay Your Taxes - Submitting Payment through the Mail,Verify the amount of tax that you owe,1,0,1,1,1439
Strap a Thumb - Getting Ready to Strap Your Thumb,Acquaint yourself with different types of thumb straps,1,1,1,1,1440
Make Soursop Juice - Mashing the Soursop,Wash the soursop under running water,0,0,1,0,1441
Find Perfect Ice Skates,Consider what kind of skating you do,1,1,1,1,1442
Draw Skylanders - Hex,Erase auxiliary lines,1,0,1,1,1443
Peel a Pumpkin - Peeling with a Vegetable Peeler,Cut the rounded top and bottom off of the pumpkin to create flat surfaces,1,0,1,1,1444
Flat Iron Hair - Learning the Technique,Clamp the iron down,0,1,1,1,1447
Build a Home Studio for Computer Based Music Recording - Building a Home Studio,Select a room in your house,1,1,1,1,1448
Become a Registered Nurse - Obtaining the Correct Education and Credentials,Find a job as a nurse,1,1,1,1,1449
Make a Garden Flag,Prevent the flag from twisting and turning by weighing it down,0,0,0,0,1450
Use Microsoft Paint in Windows - Adding Text,Change the text's font,0,0,0,0,1452
Open CSV Files - OpenOffice Calc,Download and open OpenOffice Calc,0,1,1,1,1453
Report a Fake Account on Facebook - Using the Mobile App,Block profile,1,1,0,1,1455
Create a Macaron Cake - Assembling the Cake,Fill the center of the ring with sliced strawberries,0,0,0,0,1456
Find the Surface Area of a Pyramid - Finding the Surface Area of a Square Pyramid,Square the side length of the base,1,1,1,1,1457
Post Process Smoke Images - Mirroring Your Smoke,Duplicate the layer and flip it so that it is 'reflected',0,0,0,0,1458
Clear Your Browser's Cache - Firefox on Desktop,Select a time range,1,0,1,1,1461
Deal With a Lying Child - Handling Lying in Adolescents (ages 10 and up),Follow through on punishments,0,1,1,1,1464
Polish Chrome Wheels - Cleaning Your Wheels,Rinse your wheels off to remove the soap residue,1,1,1,1,1465
Make a Motion at a Board of Directors Meeting - Reaching a Resolution,Vote on the motion,1,1,1,1,1468
Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,Type in the search bar the name of the article you want to convert into an MP3 audio file,0,1,1,1,1470
Make Sweet Curry Powder,Pour into a suitable airtight container for storage,1,0,1,1,1471
Write Headings for an Article - Writing Headings for APA Articles,Write a level five heading,0,0,0,0,1472
Make Spring Rolls - Cooking Thai Fresh Rolled,Divide the flour mixture into 3 cups of droplets of food coloring,1,1,0,1,1475
Separate Sand and Salt - Carrying Out the Experiment,Strain the saltwater from the sand using a coffee filer and funnel,1,1,1,1,1476
Create MP3 Files from Wikipedia Articles Using Pediaphon - Setting Up the Article to Covert,Choose the country you are in.,0,0,0,0,1477
Seed a Pomegranate By Hand - Removing Seeds in Water,Fill water,1,1,1,1,1478
Cook Hot Dogs - Frying Hot Dogs,Turn the hot dog pieces,1,1,1,1,1480
Make German Chocolate Caramel Brownies,Remove from heat and set aside,1,1,1,1,1481
Make a Good Pot of Coffee - Brewing the Coffee,Place a filter inside the machine over the coffee pot,1,1,1,1,1486
File for a K1 Visa - Filing Your Petition with USCIS,Gather necessary documents to support the petition,1,1,1,1,1487
Pick out Your Perfect Cell Phone," Look at this phone long and hard and think ""Am I going to want this phone in a year?"" Enjoy your new phone!",0,0,0,0,1488
Use Microsoft Paint in Windows - Adding Text,Anchor your text,1,1,1,1,1489
Sew in a Lace Closure for Your Hair - Sewing in the Wefts,Sew your final weft over the lace closure's edge,1,1,1,1,1490
Repair Torn Leather - Filling the Seam in the Tear,Wait 24 hours to give the glue and filler time to dry,1,1,1,1,1491
Deal With a Lying Child - Handling Lying in Adolescents (ages 10 and up),Ask your child why they choose to lie and listen,1,1,1,1,1492
Make Your Mobile Phone Number Appear As a Private Number - Asking Your Carrier To Make Your Number Private,Ask the customer service representative to make your number private,0,0,1,0,1494
Use Instacart on an iPhone or iPad,Watch out for Instacart-only coupons in the Coupons tab,0,0,0,0,1496
Print Wirelessly from an iPad with HP Eprint App - Linking a Printer,Search for a printer,1,1,1,1,1498
Kill English Ivy - Killing Ivy on Trees,Examine the tree trunk for uncut vines,0,1,1,1,1499
Build a Go Kart - Mounting the Engine and Steering Column,Double check your brakes and suspension system before test-driving,0,0,1,0,1501
Boil Cabbage - Boiling the Cabbage,Bring water to a gentle boil over medium-high heat,1,1,1,1,1503
Clean Rust Off Cast Iron - Using Vinegar,Mix white vinegar and water,1,1,1,1,1504
Create a Chocolate Rose Arrangement - Making the Chocolate Roses,keep it into bowl,1,1,1,1,1505
Collect Sperm for Analysis - Ensuring an Accurate Analysis,Clean your hands and penis beforehand with water and dry thoroughly,0,0,1,0,1507
Unhook a Bra - Unhooking Someone Else’s Bra,Slide the right side (i,0,0,0,0,1508
Create a Fillable PDF - Editing Form Fields,Click the Text Field tool to add a new field,1,0,1,1,1509
Cover Dining Room Chairs - Covering Chairs with Store-Bought Slipcovers,Decide what parts of your chair you want to cover,1,1,1,1,1510
Get a Japanese Passport - Getting Your Passport,Choose the type of passport you want,1,1,1,1,1512
Use Antiseizure Medications for Anxiety - Using Medication Responsibly,Choose an appropriate medication,1,1,1,1,1513
Keep Japanese Weather Loaches - Setting up Your Aquarium,Purchase a tank with 40 US gal (150 L) of space and a 4 ft (1,0,0,0,0,1514
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters,Serve the fritters,1,0,0,0,1515
Make a Putting Green - Constructing Your Green,Separate your green to protect against weeds,1,1,1,1,1516
Tell If Someone Is in Your Closet,Listen for any rustling or breathing from the closet,1,1,1,1,1517
Make a Vanilla Cake - Basic Vanilla Cake,Enjoy!,0,0,0,0,1518
Copy Text from a PDF to a Word Doc - Using Adobe Acrobat Reader for Windows or macOS,Select the text in the document,1,1,1,1,1519
Toast Sunflower Seeds - Microwave Toasting,Sprinkle salt or any other seasoning lightly on the sunflower seeds.,1,1,1,1,1520
Open CSV Files - OpenOffice Calc,Click on the “File” menu and select “Open,1,0,0,0,1521
Gently Curl Your Hair - Using a Headband,Let your hair dry completely,1,0,0,0,1523
Identify Songs Using Melody - Using Technology,Include any additional details you can think of,1,1,1,1,1524
Paint Patio Furniture - Refinishing Rusty Metal Furniture,Use muriatic acid or another rust remover to get areas of stubborn rust,1,1,1,1,1525
Use a VCR for Extended Recording of Radio Talk Shows," Turn off TV and VCR - leave radio on and connected to L1 After recording has finished, rewind tape, turn TV on and press Play on VCR to listen to recording",0,0,0,0,1526
File a Case in Consumer Court - Resolving Your Case,Present your case at your second hearing,1,1,1,1,1527
Make Vegetarian Yakisoba, Add and sitr-fry noodles,1,1,1,1,1529
Grow Birch Trees - Planting the Birch Tree," Choose a planting location with moist, slightly-acidic soil",1,1,1,1,1530
Drink Bombay Sapphire - Making a Gin and Tonic,1 Lemon peel and lemon wedge,0,0,0,0,1531
Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,Calculate the Present Value Interest Factor (PVIF),1,1,1,1,1532
Use Instacart on an iPhone or iPad,Open Instacart on your iPhone or iPad and log in to the app if you haven't done so already,1,1,1,1,1533
Dry a Dog - Drying Your Dog With a Chamois,Rub the dog's coat with the chamois,1,1,1,1,1534
Pay Your Taxes - Submitting Payment through the Mail,Follow up to make sure your payment is received,1,1,1,1,1535
Upload and Download Files on Gavitex - Downloading Files,Download files,0,1,1,1,1536
Kill Ants in Your House - Eliminating a House Ant Colony,Keep the bait stations in place until all ant activity has ceased,0,1,1,1,1537
Catalogue Your Books with Goodreads - Adding Shelves to Your Virtual Bookshelf,View your bookshelf,1,1,1,1,1540
Draw Skylanders - Hex,Add details on her body and costume,0,1,1,1,1541
Teach a Child to Use the Telephone,Let your child begin to call his/her friends/relatives,1,1,1,1,1542
Keep Japanese Weather Loaches - Setting up Your Aquarium,Install an under-gravel or power filter,0,0,0,0,1543
Clean a Dog's Wound - Seeking Professional Veterinary Help,Seek veterinary help for all bite wounds,0,0,0,0,1544
Make a Putting Green - Constructing Your Green,Ready the soil,0,0,0,0,1545
Make Sweet Curry Powder,"If using fresh spices, grind or mill them in readiness",1,1,1,1,1546
Check Traffic - Checking Traffic with Google Maps,Type in your destination,1,1,1,1,1548
Find the Surface Area of a Pyramid - Finding the Surface Area of a Square Pyramid,Multiply the side length of the base by the slant height and divide by two,1,1,1,1,1549
Toast Sunflower Seeds - Microwave Toasting, Use microwave,1,1,1,1,1550
Construct a Raised Planting Bed - Constructing the Frame,Loosen the soil underneath the removed turf,0,0,0,0,1551
Sharpen a Swiss Army Knife - Finishing Up,Select the proper coarseness for your sharpening stone. ,1,1,1,1,1554
Decorate Garden Stones - Organizing Your Project,Buy the right paint and sealant for outdoor stones,1,1,1,1,1557
Hang Floating Shelves - Installing Cleats,Push the shelf onto the cleat,1,1,1,1,1559
Reset Browser Settings - Firefox,Open Firefox,0,1,1,1,1560
Get an Article Approved in wikiHow's Quality Review,Review for final edits,1,1,1,1,1561
Make Pickles - Simple Pickles,Make pickling liquid,1,1,1,1,1562
Make Pickles - Simple Pickles,Gather your ingredients,1,1,1,1,1563
Find Fulfilling Work - Finding a Possible Career Path,Accept the confusion,0,0,0,0,1564
Get Dog Urine Smell out of Carpets - Cleaning with Vinegar and Baking Soda,Mix together water and white vinegar in a spray bottle,1,1,1,1,1566
Check Traffic - Checking Traffic with Google Maps,"Select ""Traffic""",1,1,1,1,1567
Install Internet Explorer - Using Windows 10,Click Download Internet Explorer ,1,1,1,1,1568
Get Dog Urine Smell out of Carpets - Cleaning with Vinegar and Baking Soda,Spray the mixture on the urine stain and let it sit for 15 minutes,1,1,1,1,1569
Construct a Raised Planting Bed - Constructing the Frame,Cut your timbers to the desired length,0,1,1,1,1570
Store Collard Greens - Storing Fresh Collard Greens,Refrigerate the collard greens,1,1,1,1,1573
Have Assault Charges Dropped - Taking Preliminary Steps,Think over your decision,1,1,1,1,1574
Use Microsoft Publisher - Saving Your Document,Click on “Save,0,0,1,0,1575
Cook Hot Dogs - Frying Hot Dogs,Serve the hot dogs,0,0,0,0,1576
Make a Concept Map - The Spider Concept Map,Write the main topic in the center,1,1,1,1,1577
Draw Cute Animals - A Cute Tiger,Draw a square,0,0,0,0,1578
Reset Browser Settings - Firefox,Click the menu button,0,1,1,1,1581
Measure Helmet Size - Trying on a Helmet,Determine helmet type,0,0,0,0,1583
Change Your General Preferences on Safari - iOS,"Switch your Favorites folder with the ""Favorites"" option",0,0,0,0,1584
Make Pickles - Simple Pickles,Layer the cucumbers and onions in a container,1,1,1,1,1585
Make a Camo Cake - Baking the Cake,Buy cake mix and food coloring gel.,1,1,1,1,1586
Clean a Granite Sink - Removing Hard Water Stains,Scrub the sink,1,1,1,1,1587
Survive in the Woods - Starting a Fire,Gather small twigs and branches to use for kindling,1,1,1,1,1589
Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS,Power down your iPhone,0,0,1,0,1591
Remove Wrinkles from Leather Jackets - Steaming the Jacket,Turn on your shower,0,0,0,0,1592
File for a K1 Visa - Filing Your Petition with USCIS,Mail your package of documents to USCIS,1,1,1,1,1594
Make Spring Rolls - Cooking Thai Fresh Rolled," Mix coconut milk, salt and coconut sugar",1,0,0,0,1595
Make a Good Pot of Coffee - Brewing the Coffee,Serve and enjoy the coffee while it’s hot,0,0,0,0,1596
Dry Sage - Drying Sage in a Food Dehydrator,Spread out the leaves on a tray in a single layer,1,0,1,1,1597
Bake a Cake - Making Apple Cake,Add the dry mixture to the wet mixture,1,1,1,1,1598
Make a Tight Turn Quickly in a Car - Using Your Handbrake,Check all your mirrors to make sure that you’re clear. Before you shift lanes or start to turn,1,1,1,1,1601
Preserve a Butterfly - Mounting Your Butterfly,Hold the wings flat ,1,1,1,1,1604
Diagnose a Yeast Infection at Home - Using a Home Test Kit,Read the manufacturer's instructions and wash your hands,0,0,1,0,1605
Make Shrimp Chef Salad with Lime and Cilantro,Hard boil the eggs,1,1,1,1,1606
Talk About Daily Stress with Your Partner - Having Daily Conversations,Discuss your stress temperature,1,1,1,1,1609
Play Roller Derby - Starting the Jam,Start a new jam after 1 jam ends,0,0,1,0,1612
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters,"Wash, peel, and grate the zucchinis",1,1,1,1,1614
Become a Registered Nurse - Obtaining the Correct Education and Credentials,Make sure your school is accredited,1,1,1,1,1616
Change Your General Preferences on Safari - iOS," Tap ""Passwords"" to view your stored passwords",0,0,0,0,1617
Know when to Use Oil Based Paint Instead of Latex,Know the stores which sell both Oil Based Paint and Latex,0,0,0,0,1618
Get Notified of Changes to a Dropbox on Android,Open Dropbox on Andoid,1,1,0,1,1620
Undo a Bra One Handed - Familiarizing Yourself with a Bra,Find a bra you can use for practice,1,1,1,1,1621
Buy a Harley Davidson - Considering a Used Harley-Davidson,Find the current market value of the specific model you're considering,1,1,1,1,1623
Connect a HyperX Cloud Headset - Connecting to Mobile Device,Connect the headset to the control box,1,1,1,1,1625
Password Protect a PDF - Using PDF2Go,select the option to set paswaord,1,1,1,1,1626
Sign Up for a US Trusted Traveler Program - Signing up for NEXUS,Attend your appointment,1,1,1,1,1627
Use Excel - Creating Charts,Change your chart's axis titles,0,0,0,0,1628
Print Wirelessly from an iPad with HP Eprint App - Linking a Printer,Turn on the printer,1,1,1,1,1629
Pick out Your Perfect Cell Phone,Consider the price and the functionality of a phone ,0,1,1,1,1630
Make Curly Fries - Baking the Fries,Bake to preferred crispiness,1,1,1,1,1631
Change the Root Password in Linux - With the Current Root Password," Type the current root password, then press ↵ Enter",1,1,1,1,1633
Remove Vocals from Songs - Removing the Center Channel,Customize the frequency range of the vocal ,1,1,1,1,1634
Get an Article Approved in wikiHow's Quality Review,Ask someone to take another look at the article after you've added to it,0,0,0,0,1635
Delete Bookmarks - Firefox,Expand the categories to see your bookmarks,1,1,1,1,1636
Password Protect a PDF - Using PDF2Go,Enter an editing password,1,1,1,1,1637
Whittle a Ball in a Cage - With Hand Tools,Turn the block over and repeat,1,1,1,1,1638
