process,step,annotation,iaa,true_label,id
Prepare a Power of Attorney - Preparing a Power of Attorney Document, Name the parties,"[1, 2, 1, 1, 0]",0.6,1,1726
Save a wikiHow Article to Read Offline - iOS App, Tap Bookmark,"[1, 0, 1, 1, 1]",0.6,1,1727
Cook Brazilian Rice - Method One: Traditional Brazilian Rice, Simmer until done,"[2, 0, 1, 1, -1]",0.4,1,1728
Find Fulfilling Work - Finding a Possible Career Path, Identify barriers preventing you from being who you want to be,"[1, 1, 1, 2, 2]",1.0,1,1729
Glue Fabric to a Hat Frame, Cover the surface of the hat frame where the fabric is to be applied with glue,"[1, 1, 1, 1, 2]",1.0,1,1730
Have Jehovah's Witnesses Go Away - Interacting with a Jehovah's Witness, Politely decline,"[2, 0, 1, 2, 2]",0.6,1,1731
Row on a Rowing Machine - Completing the Movement,"The rower stroke is simple but exposing in that it truly requires the ... show you how to maximize your training, making time spent on the machine work for ...","[2.0, 2.0, 2.0, 1.0, 1.0]",1.0,1,1732
Stay Organized when Moving,Make up the boxes,"[1.0, 2.0, 1.0, 2.0, 0.0]",0.6,1,1733
Be a Good Hamster Owner (for Kids) - Cleaning Your Hamster’s Cage, Restock the bedding and replace toys and other objects,"[1, 2, 1, 0, 1]",0.6,1,1734
Use Excel - Creating Charts, Click Recommended Charts,"[1, 1, 2, -1, 1]",0.6,1,1735
Peel a Kiwi - Peeling kiwifruit with a spoon,"One should wash Kiwi before cut off both ends ,","[0.0, -1.0, 1.0, 1.0, 1.0]",0.4,1,1736
Keep a Pet Snail - Making a Habitat,ensure snail has adequate food and water,"[-1.0, 2.0, 2.0, 1.0, 1.0]",0.6,1,1737
"Create a Go Kart with a Lawnmower Engine - Assembling Motor Mount, Brake Rod, and Accessories", Put in the brake rod guide tab,"[0, 1, 1, 1, 2]",0.6,1,1738
Get Married in Oregon - Planning a Wedding Ceremony, Choose a season,"[1, 1, 1, 1, 1]",1.0,1,1739
Download Kindle Books on an iPad - Adding Non-Kindle Content to Your Kindle App, Download and install the transfer software for your computer,"[1, 2, 1, 1, 1]",1.0,1,1740
Kill English Ivy - Killing Ivy on Trees, Cut another circle around the tree at shoulder level,"[1, 0, 1, 2, 0]",0.4,1,1741
Clean Skylights - Cleaning Skylights from the Outside, Climb down the ladder and spray down the skylight with a hose,"[2, 1, -1, 1, 2]",0.6,1,1742
Add a Color Palette in Photoshop from a Photograph - Using the Palette, Be sure that your Swatches window is showing,"[1, 0, 1, 0, 1]",0.4,1,1743
Apologize After a Heated Argument - Re-establishing Trust After an Argument, Consummate the apology,"[0, 0, 0, 1, 0]",0.6,0,1744
Write a Customer Relationship Management Plan - Writing Your CRM Plan, Include financial and time budgets for your CRM plan,"[2, 1, 2, 0, -2]",0.4,1,1745
Apologize After a Heated Argument - Re-establishing Trust After an Argument, Include specific realizations about your behavior in conversations following an apology,"[1, 0, 1, 1, 1]",0.6,1,1746
Send a Message on Omegle on iPhone or iPad, Tap the text field to start a message,"[1, 2, 1, 0, 2]",0.6,1,1747
Paint Patio Furniture - Refinishing Rusty Metal Furniture, Buy rust-inhibiting spray primer and paint,"[1, 1, 1, 0, 2]",0.6,1,1748
Drink Bombay Sapphire - Making a Gin and Tonic, Fill the glass with a good tonic,"[-1, 1, 2, 1, 1]",0.6,1,1749
Sell Crafts Online Easily - Launch Your Website, Include a contact form so that buyers can reach you for questions and special order requests,"[2, 1, 2, 0, 1]",0.6,1,1750
Create a Kahoot Game, Click Add question and choose a question type,"[1, 0, 1, 0, 2]",0.4,1,1751
Apply for a Job in Canada - Applying and Interviewing, Fill out the job application completely and honestly,"[1, 0, 1, 1, 2]",0.6,1,1752
Play Chopsticks on a Keyboard or Piano - Playing the Song, Play the E and G notes,"[1, 0, 1, 1, 1]",0.6,1,1753
Make a Balloon Pet - Balloon stress relief pet, Choose a balloon color,"[2, 1, 1, 0, 1]",0.6,1,1754
Open XML - Using a Text Editor, Interpret the text on the screen,"[1, 2, 1, 2, 2]",1.0,1,1755
Make German Chocolate Caramel Brownies, Bake at 350ºF/180ºC for 15 to 18 minutes,"[2, 2, 1, 1, 1]",1.0,1,1756
Seed a Pomegranate By Hand - Removing Seeds in Water,remove seeds from pomegranate and put into bowl,"[-2.0, 2.0, -1.0, 1.0, -1.0, 1.0, 2.0, -1.0, 0.0, -1.0]",0.4,0,1757
Make Banana Walnut Cake Pops - Decorating the Cake Balls, Use the walnut pieces on the cake balls,"[2, 1, 2, 2, 2]",1.0,1,1758
Find Surface Area of a Triangular Prism - Finding the Lateral Area,Write down the formula for finding the lateral area of a triangular prism,"[2, 1, 2, 2, 1]",1.0,1,1759
Use Massage for Neck Pain - Giving Yourself a Massage,Start under your ears,"[1, -1, -1, 2, 2]",0.4,1,1760
Feather Your Hair - Prepping Your Hair, Dry your hair and apply product as needed,"[2, 2, 1, 1, 2]",1.0,1,1761
Burn Essential Oil - Using a Traditional Oil Burner, Insert and light your tea light,"[0, 0, 1, 1, 2]",0.4,1,1762
Make Pickles - Simple Pickles, Slice four medium cucumbers and 4 onions,"[2, 1, 2, 1, 1]",1.0,1,1763
Make Rock Cakes - Variations, Add lemon juice or orange juice for a moist citrus rock cake,"[1, 1, 1, 2, -1]",0.6,1,1764
Create Course Content for a MILPA Course - Preview and save the changes made to media lecture,Verify additions to media lecture video,"[1, 0, 1, 2, 0]",0.4,1,1765
Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS, Replace the iPhone SIM card,"[0, 1, 0, 2, 0]",0.4,0,1766
Style Waist Length Hair - Getting Creative with Chopsticks and Braids, Twist your ponytail into a bun,"[1, 1, 0, 1, 1]",0.6,1,1767
Make a Gas Mask - Making an Air Filter for your Mask, Poke 6-7 holes in the charcoal end of your filter when you’re ready to use it,"[1, 1, 1, 2, 1]",1.0,1,1768
Take Care of and Prevent a Rip in Gymnastics - Healing a Minor Gymnastics Rip, Wrap the rip,"[1, 0, 1, 0, 1]",0.4,1,1769
Build a DIY Picture Frame Shelf - Making a Gallery Ledge Shelf, Drill pilot holes for easier fastening,"[2, 2, 2, 0, 1]",0.6,1,1770
Stretch the Calf Area of Boots - Stretching Boots with Boot Bands, Line up the other side of the boot band zip next to the boot zip and pull it up,"[2, 0, 2, 2, 1]",0.6,1,1771
Diagnose a Yeast Infection at Home - Using a Home Test Kit, Hold the swab against the chart to read your results,"[2, 1, 1, 1, 1]",1.0,1,1772
Get Dog Urine Smell out of Carpets - Cleaning with Vinegar and Baking Soda,Use a carpet brush to lightly go over the area.,"[1.0, -2.0, 1.0, 2.0, 2.0]",0.6,1,1773
Make Curly Fries - Baking the Fries, Finished,"[2, 2, 1, 2, 0]",0.6,1,1774
Make a Vacuum Chamber - Making a Lid for a Cooking Pot Pressure Cooker, Trace the top of the pot on a piece of a crystal clear acrylic sheet,"[0, 1, 1, 1, 2]",0.6,1,1775
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters, Combine the zucchinis with the rest of the ingredients,"[1, 1, 1, 1, 0]",0.6,1,1776
Arrange Silk Flowers - Creating Your Floral Arrangement,Add floral foam or clay at the bottom of your vessel,"[-1, 2, 2, 1, 0]",0.4,1,1777
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters, Transfer the fritters to a wire cooling rack,"[0, 0, 2, 1, 0]",0.4,0,1778
Read Google Books,Go to the classic Google Books website or the new one,"[2, 2, 1, 0, 1]",0.6,1,1779
Recognize and Treat Postpartum Psychosis - Diagnosing Postpartum Psychosis, Distinguish between depression and psychosis,"[1, 1, 0, 1, 1]",0.6,1,1780
Go to Sleep Fast for Kids - Starting a Bedtime Routine, Climb into bed,"[2, 2, 2, 0, 0]",0.4,1,1781
Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy,Find a web proxy that works,"[1, 1, 1, 1, 2]",1.0,1,1782
Strap a Thumb - Getting Ready to Strap Your Thumb, Prepare your skin for bandaging and taping,"[1, 0, 2, 1, 1]",0.6,1,1783
Grow Birch Trees - Planting the Birch Tree, Soak the seedling roots with water,"[2, 1, 2, 2, 0]",0.6,1,1784
Issue a Refund - Using Google Payments Merchant Center, Click on “Refund order” in the right sidebar,"[0, 0, 0, 1, 1]",0.4,0,1785
Use Fashion Tape - Attaching the Tape, Peel off the papers covering the adhesive,"[0, 2, 2, 1, 2]",0.6,1,1786
Make Straight Cuts with a Circular Saw - Constructing and Using a Straight Edge, Clamp the straight edge and trim it with a circular saw,"[2, 1, 1, 1, 1]",1.0,1,1787
Stay Organized when Moving, Pack your first box,"[1, 1, 1, 2, 2]",1.0,1,1788
"Add Colorful Emoticons, Icons and Smiley Faces in Outlook"," Add it by clicking on the ""Add"" button","[1, 1, 2, 1, 1]",1.0,1,1789
Burn Essential Oil - Using a Traditional Oil Burner,Choose a traditional candle burner for its simplicity,"[0, 0, 1, 1, 2]",0.4,1,1790
Find Surface Area of a Triangular Prism - Finding the Lateral Area, Calculate the perimeter of one base,"[2, 2, 1, 2, 0]",0.6,1,1791
Make a Tight Turn Quickly in a Car - Using Your Handbrake, Push your handbrake down and let the wheel spin in the other direction,"[1, 2, 0, 1, 1]",0.6,1,1792
Sew in a Lace Closure for Your Hair - Sewing in the Wefts, Continue sewing the weft to your braids back-and-forth across your head,"[1, 1, 2, 2, 1]",1.0,1,1793
Hide Your Profile Picture on Facebook - Using a Computer,Open Facebook in your internet browser,"[2, 2, 0, 1, 1]",0.6,1,1794
Bake Halibut - Parchment Baked Halibut, Fold the parchment paper into packets,"[1, 1, 0, 1, 2]",0.6,1,1795
Cook Freekeh - Freekeh Pilaf, Drain the freekeh,"[1, 1, 1, 1, 1]",1.0,1,1796
Paint a Model Car - Hand Painting the Car, Wash your model car,"[2, 1, 0, 2, 1]",0.6,1,1797
Diagnose a Fistula - Getting a Medical Diagnosis, Discuss your treatment options,"[0, 2, 0, 1, 2]",0.4,1,1798
Peel and Devein Shrimp - Deveining Shrimp, Use the end of the knife to lift the vein slightly,"[2, 2, 2, 2, 1]",1.0,1,1799
Make an Automatic Chicken Feeder - Cutting Out Your Pieces, Mark the bin where you want to make holes,"[1, 2, 0, 1, 1]",0.6,1,1800
Defrost Salmon - Thawing in Cold Water,Place the frozen salmon in a resealable plastic bag,"[1, 1, 0, 1, 2]",0.6,1,1801
Make a Vegan Avocado Chocolate Cake," Add the flour, salt, baking powder, and baking soda to the mixing bowl","[2, 1, 2, 2, 0]",0.6,1,1802
Service an Air Conditioner - Clean the Air Conditioner, Check your owner's manual,"[2, 1, 0, 1, 2]",0.6,1,1803
Bake a Cake - Making Apple Cake, Blend the wet ingredients,"[1, 1, 2, 1, 2]",1.0,1,1804
Format FAT32 - Windows (Drives 32 GB and Smaller), Give the drive a label,"[1, 2, 1, 1, -2]",0.6,1,1805
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters, Cook the fritters for 2 to 3 minutes per side,"[1, 0, 2, -1, 0]",0.4,0,1806
Calculate the Volume of a Prism - Calculating the Volume of a Triangular Prism, Find the height,"[1, 1, 1, 1, 1]",1.0,1,1807
Clean a MacBook Pro Keyboard - Cleaning and Disinfecting the Keyboard Surface," Dry your keyboard with a dry, lint-free, microfiber cloth","[2, 2, 0, 2, -2]",0.4,1,1808
Uninstall Twitch on PC or Mac - Using Mac, Click OK in the pop-up,"[0, 0, 2, 1, 1]",0.4,1,1809
Write Headings for an Article - Writing Headings for APA Articles, Create a level two heading,"[2, 1, 1, 1, 2]",1.0,1,1810
Make Rainbow Frosting - Skittles Rainbow Frosting,Separate the Skittles into each color,"[1, 0, 1, 1, 0]",0.4,1,1811
Perform Tracheostomy Care - Suctioning the Tube, Insert the catheter and apply suction,"[0, 2, 2, 1, 1]",0.6,1,1812
Make a Tight Turn Quickly in a Car - Using Your Handbrake, Drive into the turn at a fast speed,"[1, -2, 0, 1, 1]",0.4,1,1813
Set Google Chrome As Your Default Browser - macOS,Install Chrome if it isn't already,"[1, 0, 2, 2, 1]",0.6,1,1814
Clean a Granite Sink - Removing Hard Water Stains, Rinse the sink,"[1, 2, 0, 1, 1]",0.6,1,1815
Use Microsoft Paint in Windows - Adding Text, Increase the text box's size if necessary,"[1, 0, 2, 1, 0]",0.4,1,1816
Take Care of and Prevent a Rip in Gymnastics - Healing a Minor Gymnastics Rip," If available, spray on a liquid bandage","[1, 0, 2, 0, 1]",0.4,1,1817
Service an Air Conditioner - Clean the Air Conditioner," Replace the unit cover, and turn it on to make sure it runs properly","[2, 1, 0, 1, 2]",0.6,1,1818
Train Puggles - House-Training Your Puggle, Prepare a crate for your puggle,"[2, 2, 2, 2, -1]",0.6,1,1819
Use Instacart on an iPhone or iPad," Explore the ""Home"" tab","[0, 2, 1, 0, 1]",0.4,1,1820
Make a Gas Mask - Making an Air Filter for your Mask, Use a rubber hose to connect the bottom of your air mask to your filter,"[1, 2, 1, 1, 1]",1.0,1,1821
Hug Your Boyfriend - Hugging Your Boyfriend Properly, Hold the hug for a few seconds,"[1, 2, -1, 1, 1]",0.6,1,1822
Care for a Hedgehog with Wobbly Hedgehog Syndrome - Seeking Veterinary Care, Get a diagnosis,"[2, 0, 0, 1, 2]",0.4,1,1823
Make Arroz Con Gandules Quickly,Gather all the ingredients you will need,"[0, 1, 2, 1, 1]",0.6,1,1824
Burn Essential Oil - Using a Traditional Oil Burner, Add 10 drops of your essential oils to the water,"[0, -1, 1, 1, 2]",0.4,1,1825
Block a Website with an Internet Filter - Block Website with Internet Filter," Go to the browser, try to open the websites you add to the Black List, they are blocked","[2, 1, 2, 2, 0]",0.6,1,1826
Calculate the Volume of a Cube - Finding Volume from Surface Area, Cube this value to find the cube's volume,"[1, 1, 2, 1, 2]",1.0,1,1827
Make Mod Podge - Making Glue-Based Mod Podge, Add the water into the container,"[2, 2, 2, -1, 1]",0.6,1,1828
Repair a Book's Binding - Reattaching Loose Pages, Let the book dry for 24 hours,"[1, 2, 0, 1, 1]",0.6,1,1829
Make Shrimp Chef Salad with Lime and Cilantro," Thoroughly wash the lettuce, cucumber, and tomatoes","[1, 2, 2, 1, 1]",1.0,1,1830
Make Spring Rolls - Cooking Thai Fresh Rolled,Mix the tapioca flour and rice flour in bowl,"[1, 1, 2, 1, 2]",1.0,1,1831
Apply for a Job in Canada - Applying and Interviewing, Show up on time and well-dressed for your interview,"[1, 1, 2, 1, 1]",1.0,1,1832
Make a Garden Flag - Hanging Your Garden Flag,Choose a sheltered location for your flag,"[1, 1, 1, 2, 1]",1.0,1,1833
Simulate a Fair Coin Toss With a Biased Coin - Steps, Designate another outcome tails,"[1, -1, 2, 1, 1]",0.6,1,1834
Hug Your Boyfriend - Hugging Your Boyfriend Properly,make sure is he friend or not,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1,1835
Paint With Gouache - Finishing Your Painting, Frame your piece,"[1, 1, 2, 2, 1]",1.0,1,1836
Hang Your Phone While Charging It - Hanging Your Phone by Its Cord, Bring the loose cord end over the adapter down into your phone,"[2, 1, 2, 1, 1]",1.0,1,1837
Dehydrate Citrus Fruit - Cleaning and Slicing the Citrus, Cut your citrus fruits into ⅛ in (0,"[1, 0, 0, 1, -1]",0.4,0,1838
Report International Fraud - Reporting International Scams to EConsumer,Visit their website,"[2, 1, 2, 0, 2]",0.6,1,1839
Take Legal Action Against Price Fixing - Litigating Your Case, Hire expert witnesses,"[1, 2, 2, 0, 1]",0.6,1,1840
Remove Vocals from Songs - Removing the Center Channel, Break the channels into separate tracks,"[1, 1, 1, 1, 2]",1.0,1,1841
Turn Off Voicemail on a Samsung - Changing Call-Forwarding Settings,Open the Phone app,"[1, 0, 1, 2, 2]",0.6,1,1842
Make a Motion at a Board of Directors Meeting - Reaching a Resolution, Argue for your motion,"[2, 2, 0, 1, 1]",0.6,1,1843
Clean a CPAP - Cleaning Your CPAP Mask Daily, Air dry your mask after washing,"[1, 2, 2, 2, 1]",1.0,1,1844
Use Google Keyword Planner - Using the New Keyword Search, Choose your targets,"[1, 1, 1, 0, -1]",0.4,1,1845
Change Your General Preferences on Safari - iOS,""" Turn on the pop-up blocker to prevent pop-ups","[0, 2, 0, 1, 1]",0.4,1,1846
Make an Outdoor Canopy - Making a Canopy with 4 Poles and a Tarp, Put 1 longer tent pole in the middle of the canopy and stick it in the ground,"[0, 1, 2, 1, 0]",0.4,1,1847
Clean Behind Your Ears - Cleaning With a Cotton Swab,Repeat on other ear.,"[1.0, -1.0, 2.0, 2.0, 2.0]",0.6,1,1848
Create a Fillable PDF - Editing Form Fields,Click the Tools menu and select Prepare Form,"[2, 1, 1, 2, 2]",1.0,1,1849
Make Tumblr Edits - Editing Posts Using URLs, Delete the title of your post from the end of the URL,"[0, 1, 2, -1, 1]",0.4,1,1850
Create a Fillable PDF - Editing Form Fields," Type a name for the field into the ""Field Name"" box","[2, 0, 1, 1, 2]",0.6,1,1851
Field Dress a Deer - Removing the Entrails, Slice the skin all the way up to the neck and down to the anus,"[0, 1, 2, 2, -1]",0.4,1,1852
Stay Organized when Moving, Seal the box and slap a pre-made label or two on it,"[0, 1, 1, 2, 2]",0.6,1,1853
Write a Hypothesis for an Essay - Composing the Hypothesis, Write a formal hypothesis,"[2, 0, 1, 1, 0]",0.4,1,1854
Check Traffic - Checking Traffic with Google Maps, Choose the route that Google marks as the fastest,"[2, 1, 2, 0, 1]",0.6,1,1855
Give a Thumbs Up for an Edit on wikiHow - Giving Someone a Thumbs Up in Recent Changes Patrol," Press the ""Thumbs Up"" button if it was a good contribution, and mark the edit as patrolled","[2, 1, 2, -1, 1]",0.6,1,1856
Use Kaffir Lime Leaves - Using Dried or Powdered Leaves,Simmer dried leaves in your dish to impart their flavor,"[0, 2, 1, 1, 0]",0.4,1,1857
Uninstall Twitch on PC or Mac - Using Mac, Find the Twitch app in Applications,"[0, 1, 2, 1, 1]",0.6,1,1858
Check Traffic - Checking Traffic with Google Maps, Click “Directions” and enter your starting point,"[0, 1, 2, 0, 1]",0.4,1,1859
Sell Crafts Online Easily - Launch Your Website, Set up a website or simple blog to link to your new Etsy and ArtFire stores and vice versa,"[1, 1, 2, 0, 1]",0.6,1,1860
Make a Putting Green - Constructing Your Green, Sink your putting hole,"[2, 0, 1, 1, 1]",0.6,1,1861
Plant Seeds in a Basic Seed Tray - Caring for Your Seedlings,Cover the tray with plastic wrap,"[1, 0, 0, 1, 1]",0.4,1,1862
Check Traffic - Checking Traffic with Google Maps, Select “Menu” if you are using the Google Maps website,"[1, 0, 2, 1, 1]",0.6,1,1863
Make a Paper Hat - Making a Sailor or Alpine Hat, Open the base of the hat to put it on,"[1, 1, 1, 0, 2]",0.6,1,1864
Turn On Windows Defender - Turning on Windows Defender,"In the search bar, type Windows Security","[-1.0, 1.0, -1.0, 1.0, 1.0]",0.4,1,1865
Get Amaryllis to Rebloom - Caring for Amaryllis in Summer, Fertilizer once every two weeks,"[2, 1, 1, 1, 2]",1.0,1,1866
Bake Halibut - Parchment Baked Halibut,Preheat the oven to 400 degrees Fahrenheit (200 degrees Celsius),"[2, 2, 1, 1, 2]",1.0,1,1867
Copy Text from a PDF to a Word Doc - Using Adobe Acrobat Reader for Windows or macOS, Paste the copied text,"[1, 1, 2, 1, 2]",1.0,1,1868
Convert MediaWiki to WordPress, Install new WordPress website and activate all the necessary plugins,"[1, 1, 1, 2, 1]",1.0,1,1869
Calculate the Volume of a Prism - Calculating the Volume of a Triangular Prism, Multiply the area of the triangular base face times the height,"[1, 1, 1, 0, 1]",0.6,1,1870
Control Notifications on Periscope - Configuring Periscope’s Notifications Settings on iOS, Allow notifications for Periscope,"[1, 1, 1, 1, 2]",1.0,1,1871
Make a Paper Hat - Making a Sailor or Alpine Hat,Crease a rectangular sheet of paper down the middle,"[-1, 2, 1, 0, 2]",0.4,1,1872
Give a Thumbs Up for an Edit on wikiHow - Giving Someone a Thumbs Up in Recent Changes Patrol,Go to Recent Changes Patrol,"[1, 1, 2, 1, 1]",1.0,1,1873
Format FAT32 - Windows (Drives 32 GB and Smaller)," Right-click on your USB drive and select ""Format","[2, 1, 1, 1, 2]",1.0,1,1874
Print Wirelessly from an iPad with HP Eprint App - Linking a Printer, Select a printer,"[1, 1, 2, 1, 1]",1.0,1,1875
Find the Surface Area of a Pyramid - Finding the Surface Area of a Square Pyramid, Add the base surface area and the lateral surface area,"[0, 1, 2, 1, 1]",0.6,1,1876
Cut Wood Slices - Cutting Large Slices with a Chainsaw," Move the slice out of the way and repeat, if desired","[0, 2, 1, 2, 2]",0.6,1,1877
"Cut a Mat Using a Utility Knife - Planning, Drawing Guide Lines and Cutting the Board to Size"," Use only white, pebble surface mat board","[1, 0, 2, 2, 0]",0.4,1,1878
Print Wirelessly from an iPad with HP Eprint App - Linking a Printer,Turn on bluetooth/turn on wifi connections on printer,"[1.0, 2.0, 1.0, -1.0, 1.0]",0.6,1,1879
Take Care of and Prevent a Rip in Gymnastics - Healing a Minor Gymnastics Rip, Wash the hands in soap and water after removing the skin,"[2, 1, 1, 0, 1]",0.6,1,1880
Update Your Browser - Updating Apple Safari on Mac OS X, Browse the list of updates to locate updates for your Safari browser,"[2, 1, 1, 2, 0]",0.6,1,1881
"Cut a Mat Using a Utility Knife - Planning, Drawing Guide Lines and Cutting the Board to Size", Keep in mind to always protect the piece you will be using for your mat,"[1, 1, 2, 2, 0]",0.6,1,1882
Grow a Magnolia Tree - Laying the Seed, Ensure the soil is fertile enough,"[0, 1, 0, 2, 2]",0.4,1,1883
Upload and Download Files on Gavitex - Downloading Files,Sign into your Gavitex account,"[1, 1, 2, 1, 0]",0.6,1,1884
Repair a Book's Binding - Reattaching Loose Pages,carefully line the pages up,"[1.0, -1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 0.0, 0.0]",0.6,1,1885
Cook Freekeh - Freekeh Pilaf,Sauté the onions,"[0, 1, 1, 1, 1]",0.6,1,1886
Save a wikiHow Article to Read Offline - iOS App,Download the wikiHow App for your iPhone or iPad,"[0, 0, 1, 1, 1]",0.4,1,1887
Apply Black Eyeshadow - Constructing an Edgy Eyeshadow Look, Blend the color upward,"[2, -1, 1, 2, 1]",0.6,1,1888
Hide Your Profile Picture on Facebook - Using a Computer, Click the picture you want to hide,"[2, 2, 0, 1, 1]",0.6,1,1889
Prune Citrus Trees - Tailoring Your Pruning," Focus on the long, gangly branches","[0, 2, 2, 2, 1]",0.6,1,1890
Make Vegetarian Yakisoba," Arrange egg roll slices on the plate, scoop 2 ladles of vegetable noodles, garnish with fried onion flakes and beni shoga","[2, 2, 1, 1, 1]",1.0,1,1891
Flat Iron Hair - Learning the Technique,""" Separate your hair into several sections","[1, 0, 0, 1, 2]",0.4,1,1892
Make a Balloon Pet - Balloon stress relief pet,Make a stress relief pet that will last a little longer than the other projects suggested in this article,"[2, 2, 2, 0, 1]",0.6,1,1893
Make a Care Package for a Long Distance Partner - Assembling the Care Package,Find an attractive box,"[2, 2, 1, 0, 2]",0.6,1,1894
Make Aspirin if You're Lost in the Woods - Gathering Ingredients, Keep in mind that any willow tree will do,"[1, 1, 1, 1, 1]",1.0,1,1895
Grow a Magnolia Tree - Laying the Seed, Peel and scarify the seeds,"[0, 1, 2, 2, 2]",0.6,1,1896
Make a Vanilla Cake - Basic Vanilla Cake, Pour the cake batter in a cake pan,"[1, 2, 0, 1, 0]",0.4,1,1897
Apologize After a Heated Argument - Re-establishing Trust After an Argument,Acknowledge the reason that you had a fight,"[2, 0, 1, 1, 1]",0.6,1,1898
Make Slow Cooker Glazed Carrots - Whipping Up Slow Cooker Brown Sugar Glazed Carrots,Grease the slow cooker,"[1, 1, 1, 2, 0]",0.6,1,1899
Install Popup Camper Air Conditioner Roof Supports - Completing the Installation,"Restaple the plastic track around the mount, being sure to push it back up to the ceiling","[0, 2, 1, 2, 1]",0.6,1,1900
Keep Japanese Weather Loaches - Setting up Your Aquarium, Fill your tank with conditioned water,"[-1, 1, 0, 1, 2]",0.4,1,1901
Tell If Someone Is in Your Closet," If you have a temperature gun and your closet has cracks, fire that inside and look for temperature spikes","[-1, 1, 2, 2, 2]",0.6,1,1902
Check Your SAT Score - Evaluating Other Relevant Information,Check your college readiness,"[1, 0, 1, 1, 1]",0.6,1,1903
Wind a Grandfather Clock - Winding a Chain-Wound Clock, Make adjustments if necessary,"[2, 1, 1, 2, 1]",1.0,1,1904
Use a GoPhone Plan With an iPhone - iPhone through iPhone 3GS, Remove the GoPhone SIM card,"[1, 0, 0, 2, 0]",0.4,0,1905
Construct a Raised Planting Bed - Constructing the Frame, Place 4 wood stakes at the inner corners of the planter,"[1, 1, 1, 0, 1]",0.6,1,1906
Make Tiger Tails - Pretzel tiger tails," In a separate bowl, melt 1/2 cup of chocolate chips and 1/2 tablespoon of butter in the microwave","[1, 1, 1, 2, 2]",1.0,1,1907
Do a Pour Painting - Finishing Your Painting, Seal the canvas to protect the paint,"[1, 2, 1, 2, 0]",0.6,1,1908
Use Microsoft Publisher - Saving Your Document, Specify the location to which you want your document saved,"[0, 1, 1, 2, 2]",0.6,1,1909
File a Case in Consumer Court - Resolving Your Case, Appear at any other hearings as required by the court,"[1, 2, 0, 0, 2]",0.4,1,1910
Teach a Child to Use the Telephone," When your child is comfortable with this, and has whatever you want him/her to say memorized, let your child begin to answer the phone by him/herself","[1, 1, 2, 1, 1]",1.0,1,1911
Clean Rust Off Cast Iron - Using Vinegar, Wash the cast iron,"[1, 2, 1, 1, -1]",0.6,1,1912
Report a Fake Account on Facebook - Using the Mobile App, Log in to Facebook,"[2, 1, 1, 1, 1]",1.0,1,1913
Clean Skylights - Cleaning Skylights from the Outside,Set up a ladder on the side of the house to access the roof,"[2, 1, -1, 2, 1]",0.6,1,1914
Dehydrate Citrus Fruit - Cleaning and Slicing the Citrus, Dry off each fruit with a paper towel,"[1, 0, 0, 1, 1]",0.4,1,1915
Make a Canoe - Carving Your Dugout Canoe, Draw an outline on your log,"[1, 0, 1, 1, -1]",0.4,1,1916
Style Waist Length Hair - Getting Creative with Chopsticks and Braids,Go to an Asian restaurant to get chopsticks,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, -1.0, 1.0, 1.0, 2.0]",1.0,1,1917
Play Chopsticks on a Keyboard or Piano - Playing the Song, Play the D and B notes,"[1, 1, 1, 1, 1]",1.0,1,1918
Use Google Keyword Planner - Multiplying Keyword Lists to Get New Keyword Ideas,""" Add an additional set of keywords","[-1, 2, 1, 2, 2]",0.6,1,1919
Make a Gas Mask - Making an Air Filter for your Mask,Attach a homemade air filtration system to your mask to protect from some gases,"[2, 1, 1, 2, 1]",1.0,1,1920
Perform a Dihybrid Cross Using the Forked‐Line Method - Setting Up the Problem, Write down the genotypes for both parents,"[1, 1, 2, 1, 1]",1.0,1,1921
Text a Heart Using Symbols, Insert the open angle bracket,"[1, 1, 2, 2, 1]",1.0,1,1922
Make a Concept Map - The Spider Concept Map,Write the supporting topics around their the subtopics,"[2.0, 0.0, 2.0, 1.0, 1.0]",0.6,1,1923
Blow Dry Layered Hair - Blow Drying Short Layers, Proceed to dry the rest of your hair the way described previously,"[-1, 1, 0, 1, 1]",0.4,1,1924
Use Microsoft Paint in Windows - Adding Text, Give your text a background if you like,"[1, 0, 2, 1, -1]",0.4,1,1925
Build a DIY Picture Frame Shelf - Making a Gallery Ledge Shelf, Get your work area ready,"[-2, 1, 1, 0, 2]",0.4,1,1926
"Add Colorful Emoticons, Icons and Smiley Faces in Outlook"," Now, go to the ""AutoCorrect"" option by following this path: After clicking on ""AutoCorrect"" button, other pop-up window will appear on screen which brings you directly to setting page of ""AutoCorrect"" option","[1, 1, 2, 2, 1]",1.0,1,1927
Separate Sand and Salt - Carrying Out the Experiment, Mix equal parts sand and salt into a pan,"[1, 1, 0, 2, -1]",0.4,1,1928
Flat Iron Hair - Learning the Technique,"Plug in your iron and flick the switch to ""on","[1, -1, 1, 2, 2]",0.6,1,1929
